SFR,SAGA index,Has Legacy Survey UV
-2.01732690346241,0,True
-1.9119799976348877,1,True
-0.3932969210743904,2,True
-1.9760670824646949,3,True
-1.974820951938629,4,True
-3.0380609444975852,5,True
0.6471185857057571,6,False
-2.0177863240242004,7,True
-1.9937780402898788,8,True
-1.9217024896144865,9,True
-1.9575388560891152,10,True
-1.9845823366641997,11,True
-1.996659055173397,12,True
-0.8054872781038283,13,True
-0.438147549569607,14,False
-3.0075412077158687,15,True
-2.055011543512344,16,True
-1.9714680152535438,17,True
-1.9091021080613135,18,True
-1.9943076066970824,19,True
-2.0250399947762485,20,True
-1.887641993701458,21,True
0.588786411881447,22,False
-2.03936242210865,23,True
-2.0559951480031016,24,True
-1.9107366451621055,25,True
-1.9887219833135603,26,True
-2.0556824433803556,27,True
-1.9164601294398307,28,True
-0.4875640822649001,29,False
-1.9620566652417182,30,True
-1.994153077483177,31,True
-1.9683784727454186,32,True
0.5688538795709608,33,False
-1.9970297516584394,34,True
-2.0570285838246347,35,True
-1.9498334044218062,36,True
-1.9218007632493972,37,True
-1.9628180254697798,38,True
-1.9885964500308035,39,True
0.6109872246980665,40,False
-0.5037979838848115,41,False
-1.9355970967411995,42,True
-0.47231187522411355,43,False
-1.9778948678970336,44,True
-1.9082943890690802,45,True
-2.039244875729084,46,True
-1.9711155497431754,47,True
-1.9375177733302116,48,True
-0.5124174150824548,49,False
-2.1876641086935997,50,True
-2.121969138711691,51,True
-2.1486286402344703,52,True
-2.0126561277508737,53,True
-2.060678772211075,54,True
-2.0615160080194475,55,True
-2.1793287334442137,56,True
-2.086195712506771,57,True
1.256824537754059,58,False
-2.012271020114422,59,True
1.3178663552999499,60,False
1.2651132069826128,61,False
1.378457086443901,62,False
1.2187440251111985,63,False
-2.127526113420725,64,True
-2.079380453288555,65,True
-2.1330918563604353,66,True
-2.037567452430725,67,True
-2.2048943764865396,68,True
-2.144460171282291,69,True
-2.206786664843559,70,True
-2.0923791382312773,71,True
-2.054825240314007,72,True
-2.133971283853054,73,True
-2.154211311936378,74,True
-2.0283418847322463,75,True
-2.177608771204948,76,True
-2.0773354588150976,77,True
-2.0753250163793564,78,True
-2.0831125074326993,79,True
-2.091009905219078,80,True
-2.135606515467167,81,True
-2.126312451392412,82,True
-2.0781752990484237,83,True
-2.2290977316498757,84,True
-2.1871490402519704,85,True
-2.1481914440989494,86,True
-0.21047063004970568,87,False
-2.0725724864602086,88,True
-2.075971955537796,89,True
-2.101490805745125,90,True
-2.1434600721001624,91,True
-2.0983566407561303,92,True
-2.183108969449997,93,True
-2.131527812361717,94,True
-2.152300271719694,95,True
-2.1753328510522842,96,True
-2.1796424798369407,97,True
-2.072407018661499,98,True
-2.155485830694437,99,True
-1.6067089245915411,100,True
1.3908020607233045,101,False
-1.4642026044130325,102,True
-3.392620976820588,103,True
-3.4149118159264322,104,True
-3.4054712963551284,105,True
-3.4044300472587343,106,True
-3.398367032781243,107,True
-1.474258810043335,108,True
-1.5240812857747077,109,True
-1.5590168684720993,110,True
-1.340400222480297,111,True
-1.545717980146408,112,True
-1.526707067012787,113,True
-1.545717980146408,114,True
-1.5956470636725426,115,True
-1.6056864273548126,116,True
-1.6090885008573532,117,True
-1.4010364442467689,118,True
-1.5101519529819487,119,True
-1.5939712030291557,120,True
-1.5961971182227135,121,True
-1.6478327946066855,122,True
-1.5612294142842291,123,True
-1.4542158501148224,124,True
-1.526707067012787,125,True
